message_id,date,sender_id,text,preprocessed_text,tokens,image_path,document_path
1651,2022-07-18 13:21:20+00:00,,"HP - ENVY x360 Convert 
🔸15.6"" Touch-Screen Laptop 
🔸Processor Model: Intel Core i7 11th Generation Evo Platform 
🔸RAM: 16 GB Memory 
🔸Storage Capacity: 512GB SSD 
🔸Graphics: Intel Iris Xe Graphics (8GB Shared)
🔸Screen Resolution:1920 x 1080 (Full HD)
🔸Operating System: Windows 11 Home
🔸Battery: Up to 12 hours
🔸Natural Silver Color

💰Price: 100,000 ETB

Contact @edjos 
📞 0923039291",hp envy x360 convert 🔸156 touchscreen laptop 🔸processor model intel core i7 11th generation evo platform 🔸ram 16 gb memory 🔸storage capacity 512gb ssd 🔸graphics intel iris xe graphics 8gb shared 🔸screen resolution1920 x 1080 full hd 🔸operating system windows 11 home 🔸battery up to 12 hours 🔸natural silver color 💰price 100000 etb contact edjos 📞 <phone>,"['hp', 'envy', 'x360', 'convert', '🔸156', 'touchscreen', 'laptop', '🔸processor', 'model', 'intel', 'core', 'i7', '11th', 'generation', 'evo', 'platform', '🔸ram', '16', 'gb', 'memory', '🔸storage', 'capacity', '512gb', 'ssd', '🔸graphics', 'intel', 'iris', 'xe', 'graphics', '8gb', 'shared', '🔸screen', 'resolution1920', 'x', '1080', 'full', 'hd', '🔸operating', 'system', 'windows', '11', 'home', '🔸battery', 'up', 'to', '12', 'hours', '🔸natural', 'silver', 'color', '💰price', '100000', 'etb', 'contact', 'edjos', '📞', '<', 'phone', '>']",data/images\1651.jpg,
1647,2022-07-18 06:19:40+00:00,,"📱Iphone 13 Pro Max
📱Packed New
📱Storage 128 gb
📱Silver color
📱Imported from USA 🇺🇸
Price 94,000 birr
Contact @edjos
📞 0923039291",📱iphone 13 pro max 📱packed new 📱storage 128 gb 📱silver color 📱imported from usa 🇺🇸 price 94000 birr contact edjos 📞 <phone>,"['📱iphone', '13', 'pro', 'max', '📱packed', 'new', '📱storage', '128', 'gb', '📱silver', 'color', '📱imported', 'from', 'usa', '🇺🇸', 'price', '94000', 'birr', 'contact', 'edjos', '📞', '<', 'phone', '>']",data/images\1647.jpg,
1637,2021-12-31 11:06:27+00:00,,"Saachi Coffee Beans/Popcorn Roasting Machine
⚡️400 gms capacity
⚡️Aluminum die-cast roasting pan
⚡️Adjustable temperature control & ⚡️Cool touch handles
⚡️Stainless steel roasting blade
⚡️Can be used to make popcorn
⚡️Power 1200 watts 
Price 3500
Contact @edjos
📞 0940170372",saachi coffee beanspopcorn roasting machine ⚡️400 gms capacity ⚡️aluminum diecast roasting pan ⚡️adjustable temperature control ⚡️cool touch handles ⚡️stainless steel roasting blade ⚡️can be used to make popcorn ⚡️power 1200 watts price 3500 contact edjos 📞 <phone>,"['saachi', 'coffee', 'beanspopcorn', 'roasting', 'machine', '⚡️400', 'gms', 'capacity', '⚡️aluminum', 'diecast', 'roasting', 'pan', '⚡️adjustable', 'temperature', 'control', '⚡️cool', 'touch', 'handles', '⚡️stainless', 'steel', 'roasting', 'blade', '⚡️can', 'be', 'used', 'to', 'make', 'popcorn', '⚡️power', '1200', 'watts', 'price', '3500', 'contact', 'edjos', '📞', '<', 'phone', '>']",data/images\1637.jpg,
1634,2021-12-31 11:06:14+00:00,,"⚡️Mechanical Airfryer
⚡️Rated Voltage: 220-240V
⚡️Rated frequency: 50/60Hz
⚡️Rated power: 1500W
⚡️Fry basket capacity: 4.2L
⚡️Net weight: 4.84 KGS
Zero(0) oil
Price 4500 birr
Contact @edjos
📞 0940170372",⚡️mechanical airfryer ⚡️rated voltage 220240v ⚡️rated frequency 5060hz ⚡️rated power 1500w ⚡️fry basket capacity 42l ⚡️net weight 484 kgs zero0 oil price 4500 birr contact edjos 📞 <phone>,"['⚡️mechanical', 'airfryer', '⚡️rated', 'voltage', '220240v', '⚡️rated', 'frequency', '5060hz', '⚡️rated', 'power', '1500w', '⚡️fry', 'basket', 'capacity', '42l', '⚡️net', 'weight', '484', 'kgs', 'zero0', 'oil', 'price', '4500', 'birr', 'contact', 'edjos', '📞', '<', 'phone', '>']",data/images\1634.jpg,
1629,2021-11-28 16:59:29+00:00,,"DJI OM 4 SE Smartphone Gimbal

Highlights:
◾Foldable Smartphone Gimbal Stabilizer
◾Magnetic Phone Clamp, Stronger Torque
◾Even More Compact, Up to 10.2 oz Load
◾Hand Gesture Control, Shape Recognition
◾Supports up to 3.3"" Wide Smartphones
◾Control Gimbal/Phone with DJI Mimo App
◾ActiveTrack, Follow, and Sport Modes
◾15-Hour Runtime,1/4""-20 Tripod Mount
◾Time-Lapse, Hyperlapse, Panorama Modes
◾USB Power Output for Phone/Accessory
Price = 18,000 ETB
Contact @edjos
📞 0940170372",dji om 4 se smartphone gimbal highlights ◾foldable smartphone gimbal stabilizer ◾magnetic phone clamp stronger torque ◾even more compact up to 102 oz load ◾hand gesture control shape recognition ◾supports up to 33 wide smartphones ◾control gimbalphone with dji mimo app ◾activetrack follow and sport modes ◾15hour runtime1420 tripod mount ◾timelapse hyperlapse panorama modes ◾usb power output for phoneaccessory price = 18000 etb contact edjos 📞 <phone>,"['dji', 'om', '4', 'se', 'smartphone', 'gimbal', 'highlights', '◾foldable', 'smartphone', 'gimbal', 'stabilizer', '◾magnetic', 'phone', 'clamp', 'stronger', 'torque', '◾even', 'more', 'compact', 'up', 'to', '102', 'oz', 'load', '◾hand', 'gesture', 'control', 'shape', 'recognition', '◾supports', 'up', 'to', '33', 'wide', 'smartphones', '◾control', 'gimbalphone', 'with', 'dji', 'mimo', 'app', '◾activetrack', 'follow', 'and', 'sport', 'modes', '◾15hour', 'runtime1420', 'tripod', 'mount', '◾timelapse', 'hyperlapse', 'panorama', 'modes', '◾usb', 'power', 'output', 'for', 'phoneaccessory', 'price', '=', '18000', 'etb', 'contact', 'edjos', '📞', '<', 'phone', '>']",data/images\1629.jpg,
1627,2021-09-24 11:25:38+00:00,,"⚡️Transcend StoreJet 25M3s Slim
⚡️1TB hard drive
⚡️USB 3.1 Gen 1 
Price 3100 birr
Contact @edjos
📞 0940170372",⚡️transcend storejet 25m3s slim ⚡️1tb hard drive ⚡️usb 31 gen 1 price 3100 birr contact edjos 📞 <phone>,"['⚡️transcend', 'storejet', '25m3s', 'slim', '⚡️1tb', 'hard', 'drive', '⚡️usb', '31', 'gen', '1', 'price', '3100', 'birr', 'contact', 'edjos', '📞', '<', 'phone', '>']",data/images\1627.jpg,
1624,2021-09-24 11:20:56+00:00,,"⚡️Mechanical Airfryer
⚡️Rated Voltage: 220-240V
⚡️Rated frequency: 50/60Hz
⚡️Rated power: 1500W
⚡️Fry basket capacity: 4.2L
⚡️Net weight: 4.84 KGS
Zero(0) oil
Price 4500 birr
Contact @edjos
📞 0940170372",⚡️mechanical airfryer ⚡️rated voltage 220240v ⚡️rated frequency 5060hz ⚡️rated power 1500w ⚡️fry basket capacity 42l ⚡️net weight 484 kgs zero0 oil price 4500 birr contact edjos 📞 <phone>,"['⚡️mechanical', 'airfryer', '⚡️rated', 'voltage', '220240v', '⚡️rated', 'frequency', '5060hz', '⚡️rated', 'power', '1500w', '⚡️fry', 'basket', 'capacity', '42l', '⚡️net', 'weight', '484', 'kgs', 'zero0', 'oil', 'price', '4500', 'birr', 'contact', 'edjos', '📞', '<', 'phone', '>']",data/images\1624.jpg,
1623,2021-09-24 11:19:04+00:00,,"Facial steamer 
⚡️Restoring delicate and smooth skin
⚡️Suppressing acne
⚡️Killing skin bacteria
⚡️Reducing hair crack
⚡️Softening the cuticles
⚡️promotes the face body circulation 
⚡️increases skin elasticity 
⚡️provides relief from cold and sinus problems
⚡️helps to eliminate black rim of the eye
Price 2000 birr
Contact @edjos",facial steamer ⚡️restoring delicate and smooth skin ⚡️suppressing acne ⚡️killing skin bacteria ⚡️reducing hair crack ⚡️softening the cuticles ⚡️promotes the face body circulation ⚡️increases skin elasticity ⚡️provides relief from cold and sinus problems ⚡️helps to eliminate black rim of the eye price 2000 birr contact edjos,"['facial', 'steamer', '⚡️restoring', 'delicate', 'and', 'smooth', 'skin', '⚡️suppressing', 'acne', '⚡️killing', 'skin', 'bacteria', '⚡️reducing', 'hair', 'crack', '⚡️softening', 'the', 'cuticles', '⚡️promotes', 'the', 'face', 'body', 'circulation', '⚡️increases', 'skin', 'elasticity', '⚡️provides', 'relief', 'from', 'cold', 'and', 'sinus', 'problems', '⚡️helps', 'to', 'eliminate', 'black', 'rim', 'of', 'the', 'eye', 'price', '2000', 'birr', 'contact', 'edjos']",data/images\1623.jpg,
1621,2021-09-24 11:17:01+00:00,,"Saachi Coffee Beans/Popcorn Roasting Machine
⚡️400 gms capacity
⚡️Aluminum die-cast roasting pan
⚡️Adjustable temperature control & ⚡️Cool touch handles
⚡️Stainless steel roasting blade
⚡️Can be used to make popcorn
⚡️Power 1200 watts 
Price 3500
Contact @edjos
📞 0940170372",saachi coffee beanspopcorn roasting machine ⚡️400 gms capacity ⚡️aluminum diecast roasting pan ⚡️adjustable temperature control ⚡️cool touch handles ⚡️stainless steel roasting blade ⚡️can be used to make popcorn ⚡️power 1200 watts price 3500 contact edjos 📞 <phone>,"['saachi', 'coffee', 'beanspopcorn', 'roasting', 'machine', '⚡️400', 'gms', 'capacity', '⚡️aluminum', 'diecast', 'roasting', 'pan', '⚡️adjustable', 'temperature', 'control', '⚡️cool', 'touch', 'handles', '⚡️stainless', 'steel', 'roasting', 'blade', '⚡️can', 'be', 'used', 'to', 'make', 'popcorn', '⚡️power', '1200', 'watts', 'price', '3500', 'contact', 'edjos', '📞', '<', 'phone', '>']",data/images\1621.jpg,
1618,2021-09-24 11:15:09+00:00,,"⚡️Bestway family pool 
SOLUTION: Spend the day relaxing in the water with your kids
⚡️DURABLE CONSTRUCTION: Built from a long-lasting material
⚡️PLENTY OF ROOM FOR EVERYONE: With the dimensions of 3.05M × 1.83M × 56CM,there's enough room for multiple kids and adults to splash and relax
⚡️EASY TO DRAIN: At the end of the fun,clean up is easy! Release the pool water using the easy to use drain valve
⚡️QUICK INFLATION: Get out in the sun quickly! This pool inflates within minutes using an air pump
Price 6000 birr
Contact @edjos
📞 0940170372",⚡️bestway family pool solution spend the day relaxing in the water with your kids ⚡️durable construction built from a longlasting material ⚡️plenty of room for everyone with the dimensions of 305m × 183m × 56cmtheres enough room for multiple kids and adults to splash and relax ⚡️easy to drain at the end of the funclean up is easy release the pool water using the easy to use drain valve ⚡️quick inflation get out in the sun quickly this pool inflates within minutes using an air pump price 6000 birr contact edjos 📞 <phone>,"['⚡️bestway', 'family', 'pool', 'solution', 'spend', 'the', 'day', 'relaxing', 'in', 'the', 'water', 'with', 'your', 'kids', '⚡️durable', 'construction', 'built', 'from', 'a', 'longlasting', 'material', '⚡️plenty', 'of', 'room', 'for', 'everyone', 'with', 'the', 'dimensions', 'of', '305m', '×', '183m', '×', '56cmtheres', 'enough', 'room', 'for', 'multiple', 'kids', 'and', 'adults', 'to', 'splash', 'and', 'relax', '⚡️easy', 'to', 'drain', 'at', 'the', 'end', 'of', 'the', 'funclean', 'up', 'is', 'easy', 'release', 'the', 'pool', 'water', 'using', 'the', 'easy', 'to', 'use', 'drain', 'valve', '⚡️quick', 'inflation', 'get', 'out', 'in', 'the', 'sun', 'quickly', 'this', 'pool', 'inflates', 'within', 'minutes', 'using', 'an', 'air', 'pump', 'price', '6000', 'birr', 'contact', 'edjos', '📞', '<', 'phone', '>']",data/images\1618.jpg,
